user_id,youtube_username,picture_url,scenes_id,scenes_name,video_schedule_id,video_published_id,video_title,twitter_response_id,facebook_response,fb_like,tw_like,yt_like,total_likes,fb_view,yt_view,total_view,fb_numeric_id,twitter_numeric_id
29,"Schosys India",https://lh6.googleusercontent.com/-W3Y6GK0F1D0/AAAAAAAAAAI/AAAAAAAAADY/he8km4kcZEY/photo.jpg,5,"Dance with Pacha",2,mwSeOR203KU,"Schosys - City, Country | Dance with Pacha #ConnectedDanceChallenge",,,,,0,0,,0,0,315018915633735,848628872119820291
29,"Schosys India",https://lh6.googleusercontent.com/-W3Y6GK0F1D0/AAAAAAAAAAI/AAAAAAAAADY/he8km4kcZEY/photo.jpg,5,"Dance with Pacha",1,NFuBc-SQKAA,"Schosys - City, Country | Dance with Pacha #ConnectedDanceChallenge",,,,,0,0,,1,1,315018915633735,848628872119820291
23,"Rashid Alig",https://lh4.googleusercontent.com/-amT6QxvgaJ0/AAAAAAAAAAI/AAAAAAAABt4/u-4eJZirlaI/photo.jpg,5,"Dance with Pacha",3,ms4dXO1Q-Bo,"Rashid - City, Country | Dance with Pacha #ConnectedDanceChallenge",,,,,0,0,,0,0,10210662038481480,4339234994
