user_id,youtube_username,picture_url,scenes_id,scenes_name,video_schedule_id,video_published_id,video_title,twitter_response_id,facebook_response,fb_like,tw_like,yt_like,total_likes,fb_view,yt_view,total_view,fb_numeric_id,twitter_numeric_id
,,,2,"second scenes",37,bO9xxQMOLoY,"Abcd Upload Test",902492652922273792,,,8274,0,8274,,64,64,,842075363765301261
9,"dev ahmed",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,2,"second scenes",44,LU2k-jjnwIo,test4,902464323548733441,125295778050034,,2042,,2042,,,0,113478145898464,865171357801172992
,,,2,"second scenes",34,LmA01QdAM8U,#IndvSL,902549955012943873,,,796,0,796,,2,2,,842075363765301261
9,"dev ahmed",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,2,"second scenes",35,JS1TlpNttnk,test,902407975578484737,124991808080431,,592,,592,,,0,113478145898464,865171357801172992
25,"Random Amazing Things",https://lh3.googleusercontent.com/-qxt3Dv35Dsw/AAAAAAAAAAI/AAAAAAAAAA0/C-KHfL1YLMg/photo.jpg,2,"second scenes",56,EbcyCA1J8YU,"Lion and buffalo fight. Buffalo make lion run",,,,,55,55,,1294,1294,10210662038481480,
11,"Rashid Alig",https://lh3.googleusercontent.com/-_lMlPf9qOBs/AAAAAAAAAAI/AAAAAAAAAFg/bdU5HjaaJIk/photo.jpg,2,"second scenes",54,bsf8QWdIpbo,"honor mobile uploads",902464323548743441,10211024449701534,,,1,1,,45,45,10210662038481480,842075363765301261
,,,2,"second scenes",6,edILQ2pXezQ,"Abcd efgh",,10210848903392986,,,,0,,,0,,4339234994
23,"Rashid Alig",https://lh4.googleusercontent.com/-amT6QxvgaJ0/AAAAAAAAAAI/AAAAAAAABt4/u-4eJZirlaI/photo.jpg,2,"second scenes",63,UfatHUzt5zQ,Awesome,,,,,,0,,,0,10210662038481480,4339234994
19,"Top 10 Human Things",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,2,"second scenes",29,UCmeJDGeNoA,"Top 10 Twitter Celebrities",,,,,0,0,,3,3,,4339234994
9,"dev ahmed",https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg,2,"second scenes",11,i_SntQHfQSg,testing,,,,,,0,,,0,113478145898464,865171357801172992
